document_id;source;title;summary;tags;year;file_name_original;file_name_standardized;file_path;file_size_mb;pages;language;document_type;hash_sha256;url;created_at
a6d2453d-4a3e-4ccf-a15b-0f317459b511;inca;Compartilhando Desafios na Atenção à Saúde - INCA e SBI Albert Einstein;Este documento compartilha desafios enfrentados na atenção à saúde no Rio de Janeiro em 2010, por meio da cooperação entre o Ministério da Saúde, o Instituto Nacional de Câncer (INCA) e a Sociedade Beneficente Israelita Brasileira Albert Einstein.;Saúde pública, Câncer, Ministério da Saúde, INCA, SBI Albert Einstein, Rio de Janeiro, 2010;2010;Comunicação de notícias difíceis - compartilhamento de desafios na atenção à saúde - 2010.pdf;inca_2010_compartilhando_desafios_na_atencao_a_saude_-_inca_e_sbi_albert_einstein.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2010_compartilhando_desafios_na_atencao_a_saude_-_inca_e_sbi_albert_einstein.pdf;298;208;pt;institutional_guide;e5fdfd24aa615e7230da5d2bea6cd3e4da802c371553a7fe99dc1457052f4d56;;16/03/2026 17:09
d3df7fd6-4ceb-4084-8c38-40a7e3a4694e;inca;Guia do Cuidador de Pacientes Acamados by INCA;This guide offers orientation to caregivers of bedridden patients, focusing on assistance, neoplasias, and right to health. It was published by the National Cancer Institute (INCA) in 2010.;Caregiving Guidelines, Bedridden Patients, Neoplasia, Right to Health, Health Education, Ministry of Health, National Cancer Institute, Brazil;2010;guia-do-cuidador-de-pacientes-acamados-2010.pdf;inca_2010_guia_do_cuidador_de_pacientes_acamados_by_inca.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2010_guia_do_cuidador_de_pacientes_acamados_by_inca.pdf;63;16;pt;institutional_guide;6b0885bcaffd8580c5bd7555368597bf02fc7f1cce6fddea161ee00591339473;;16/03/2026 17:34
86a8bd54-c567-4231-b828-1adba91d7393;inca;Orientações à pessoa traqueostomizada: post transplante de medula óssea;Este documento fornece orientações aos pacientes que realizaram um transplante de medula óssea. Publicado pelo Instituto Nacional de Câncer (INCA) do Brasil, ele aborda temas como comunicação em saúde e educação para pacientes.;traqueostomia, transplante de medula óssea, paciente orientação, saúde pública, INCA, Comunicação em Saúde;2010;pos-transplante-de-medula-ossea-2010.pdf;inca_2010_orientacoes_a_pessoa_traqueostomizada_post_transplante_de_medula_ossea.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2010_orientacoes_a_pessoa_traqueostomizada_post_transplante_de_medula_ossea.pdf;75;20;pt;institutional_guide;f21cb0f993cbf3d9de6699c4aaacc8072467dc5a8e1c32815e85bd5712b35b60;;16/03/2026 17:45
979dea30-eb49-482d-b893-15d0eaf0b712;inca;Tratamento pediátrico no INCA: orientações aos pacientes;Este documento fornece orientações para pacientes sob tratamento pediátrico no Instituto Nacional de Câncer (INCA), Brasil. Topicos abordados incluem comunicação em saúde, cuidado à criança e assistência ao paciente.;Comunicação em saúde, Criança, Assistência ao paciente, Tratamento pediátrico, INCA (Instituto Nacional de Câncer), Saúde pública, Brasil, Orientação aos pacientes;2010;tratamento-pediatrico-no-inca-2010.pdf;inca_2010_tratamento_pediatrico_no_inca_orientacoes_aos_pacientes.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2010_tratamento_pediatrico_no_inca_orientacoes_aos_pacientes.pdf;108;20;pt;institutional_guide;d7ce45b7b365700bee019625b36b59384b172fd13c1b65c7dd138eeca3170d7c;;16/03/2026 17:54
5c5f74fd-648b-4f64-a5c2-1018f97f0cfe;inca;Radioterapia: Orientacoes aos Pacientes (2nd Edition);This document provides guidance for patients undergoing radiation therapy, published by the National Cancer Institute of Brazil in 2011. It is intended to ensure effective communication and patient assistance during the treatment process.;Radiation Therapy, Patient Guidance, Health Communication, Brazil, National Cancer Institute, Oncology, Medical Document, 2nd Edition;2011;radioterapia-2010.pdf;inca_2011_radioterapia_orientacoes_aos_pacientes_2nd_edition.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2011_radioterapia_orientacoes_aos_pacientes_2nd_edition.pdf;224;12;pt;institutional_guide;3cbbde7b979e36e1fa6b423c7f9d3a219977a958f161be3be8e2c4ad1aca8c36;;16/03/2026 17:50
0df74ba9-bddc-410a-9216-81f5dde9b380;inca;Cuidados após cirurgia de mama com esvaziamento axilar: orientações aos pacientes;Documento fornecido pelas Divisão de Comunicação Social do Instituto Nacional de Câncer José Alencar Gomes da Silva, abordando as orientações necessárias para cuidados pós-operatórios em pacientes submetidos à cirurgia de mama com esvaziamento axilar.;Comunicação em Saúde, Neoplasias da Mama - Cirurgia, Período Pós-Operatório, Assistência ao paciente, Cuidados após cirurgia;2012;cuidados-apos-cirurgia-de-mama-com-esvaziamento-axilar-2012.pdf;inca_2012_cuidados_apos_cirurgia_de_mama_com_esvaziamento_axilar_orientacoes_aos_pacientes.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2012_cuidados_apos_cirurgia_de_mama_com_esvaziamento_axilar_orientacoes_aos_pacientes.pdf;52;16;pt;patient_education;088b1087cee7e002dd076ebd6ccf4d81602d13aee00a2a2147d237b5c07cce67;;16/03/2026 17:24
dd8e2dbf-4f7d-4593-807b-52a79485d2d6;inca;Carta de Serviços ao Cidadão: Hospital do Câncer III 3ª Edição;Este documento fornece informações sobre o Hospital do Câncer III, produzido pela Divisão de Comunicação Social do Instituto Nacional de Câncer José Alencar Gomes da Silva. Aborda áreas como assistência social, direito à saúde, assistência ao paciente e neoplasias.;Assistência Social, Direito à Saúde, Assistência ao Paciente, Assistência à Saúde, Neoplasias, Hospital do Câncer III, INCA, Communicação Social, Carta de Serviços, Cidadão;2013;conheca-o-hospital-do-cancer-3-3a-edicao-2013.pdf;inca_2013_carta_de_servicos_ao_cidadao_hospital_do_cancer_iii_3a_edicao.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2013_carta_de_servicos_ao_cidadao_hospital_do_cancer_iii_3a_edicao.pdf;378;24;pt;institutional_guide;d830814189d79ffe6a25a9f22c7347ae262cfe75c9a35a3c779d749c17721c9d;;16/03/2026 17:16
f7d5a62a-a521-41b3-ae01-b1608d652629;inca;Cuidado ao Paciente: Guia do Paciente da 3ª Edição;Este documento é uma guia para pacientes, fornecendo orientações sobre comunicação em saúde, assistência ao paciente, cuidados paliativos e educação em saúde. Foi publicado pela 3ª edição pelo Instituto Nacional de Câncer José Alencar Gomes da Silva.;Saúde, Pacientes, Orientação, Cuidados Paliativos, Comunicação, Educação, Instituto Nacional de Câncer;2013;cuide-bem-do-seu-paciente-2013.pdf;inca_2013_cuidado_ao_paciente_guia_do_paciente_da_3a_edicao.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2013_cuidado_ao_paciente_guia_do_paciente_da_3a_edicao.pdf;79;28;pt;patient_education;78776b4c102474e151a6c1c47a262cd9ed39d8d3304c1e0a9d331d66880431a8;;16/03/2026 17:26
7caca92b-767f-44ad-b2c4-e6c06f6a7ef5;inca;Orientações aos pacientes: Quimioterapia;Este documento fornece informações para pacientes sobre a quimioterapia, oferecendo conselhos e informações sobre a comunicação em saúde, educação em saúde, neoplasias e prospectos de educação de pacientes. É publicado pela Divisão de Comunicação Social do Instituto Nacional de Câncer José Alencar Gomes da Silva.;Quimioterapia, Comunicação em saúde, Educação em saúde, Neoplasias, Pacientes, INCA, Divisão de Comunicação Social;2013;quimioterapia-2010.pdf;inca_2013_orientacoes_aos_pacientes_quimioterapia.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2013_orientacoes_aos_pacientes_quimioterapia.pdf;75;16;pt;patient_education;ce13b383c383ecdaf7419e02d9b26fe9ccf32ef311c2ca33e272af771e60fa81;;16/03/2026 17:49
3df4365a-3cd3-4de4-b71c-e76d934ef371;inca;Cartilha Profissionais da Saúde - MS HPV-2;Guia para profissionais de saúde sobre o Programa Nacional de Imunizações e vacina contra papiloma vírus (HPV) da Ministério da Saúde do Brasil, publicado em fevereiro de 2014.;Ministério da Saúde, Saúde Pública, Doenças Transmissíveis, Imunizações, Papiloma Vírus, Cartilha Profissional, Programa Nacional de Imunizações, Brasil;2014;guia-pratico-hpv-2013.pdf;inca_2014_cartilha_profissionais_da_saude_-_ms_hpv-2.pdf;C:\Users\aribe\Documents\FIAP\Fase 3\oncosus\data\raw\inca\inca_2014_cartilha_profissionais_da_saude_-_ms_hpv-2.pdf;255;44;pt;patient_education;6fb7d1690e31ea40d23cbd5f23f7a2fef36fd464422aa1dc21587e01f4301f94;;16/03/2026 17:36
